 17 Apr 09:44:17 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:44:17 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:44:18 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:44:18 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:44:18 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:44:18 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:44:18 CDT 2013
 17 Apr 09:44:18 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:44:18 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:44:18 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:44:18 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:44:18 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:44:18 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:44:18 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:44:18 CDT 2013
 17 Apr 09:44:18 LogHelper | logTestCaseFooter | - Test Case End 	= Wed Apr 17 09:44:18 CDT 2013
 17 Apr 09:44:18 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:45:25 DefaultRequestDirector | tryExecute | - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request: The target server failed to respond
 17 Apr 09:45:25 DefaultRequestDirector | tryExecute | - Retrying request
 17 Apr 09:45:25 LogHelper | logTestCaseSepStar | - *********************************************************************************
 17 Apr 09:45:25 LogHelper | logTestCaseHeader | - Test Case Id    = impersonatePage
 17 Apr 09:45:25 LogHelper | logTestCaseHeader | - Test Case Desc  = Validates
 17 Apr 09:45:25 LogHelper | logTestCaseHeader | - Test Case Start = Wed Apr 17 09:45:25 CDT 2013
 17 Apr 09:45:25 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:45:26 LogHelper | logTestCaseDash | - ---------------------------------------------------------------------------------
 17 Apr 09:45:26 LogHelper | logTestCaseFooter | - Test Case Checks  = 1
 17 Apr 09:45:26 LogHelper | logTestCaseFooter | - Test Case Errors  = 1
 17 Apr 09:45:26 LogHelper | logTestCaseFooter | - Test Case Known Issues = 
 17 Apr 09:45:26 LogHelper | logTestCaseFooter | - Test Case Status  = FAIL
 17 Apr 09:45:26 LogHelper | logTestCaseFooter | - Test Case Time 	= Wed Apr 17 09:45:26 CDT 2013
